Designator,Mid X,Mid Y,Rotation,Layer
C1,221.6,-174.797,-90.0,top
C10,198.4525,-128.792,180.0,top
C11,240.21,-117.41,0.0,top
C12,122.2375,-170.767,180.0,top
C13,102.92,-142.2935,180.0,top
C14,95.36,-136.59,-90.0,top
C15,118.0,-171.292,-90.0,top
C16,95.8625,-143.5735,90.0,top
C17,127.0635,-164.6612,0.0,top
C18,190.35,-121.1421,0.0,top
C19,241.3875,-158.167,-90.0,top
C2,124.99,-114.1134,-90.0,top
C20,190.3725,-132.942,0.0,top
C21,297.234,-95.853,-90.0,top
C22,128.5313,-170.6662,180.0,top
C23,196.0525,-132.942,180.0,top
C24,270.25,-177.7221,90.0,top
C25,277.2625,-177.7221,90.0,top
C26,292.494,-96.2493,0.0,top
C27,195.975,-121.142,180.0,top
C28,250.1625,-158.542,-90.0,top
C29,141.2063,-171.9862,-90.0,top
C3,112.2128,-139.0141,90.0,top
C30,337.84,-125.617,0.0,top
C31,326.03,-133.72,0.0,top
C32,288.164,-103.441334,180.0,top
C33,113.275,-171.292,90.0,top
C34,277.945,-151.742,-90.0,top
C35,99.3274,-155.0256,0.0,top
C36,306.764,-100.093,90.0,top
C37,326.915,-165.07,-90.0,top
C38,327.4125,-167.992,0.0,top
C39,329.0625,-160.817,0.0,top
C4,124.99,-149.752,-90.0,top
C40,316.53,-163.68,180.0,top
C41,321.0625,-168.342,-90.0,top
C42,321.0425,-156.417,90.0,top
C43,329.0625,-161.792,0.0,top
C44,325.5875,-157.517,90.0,top
C45,327.4125,-166.942,0.0,top
C46,315.09,-163.19,-90.0,top
C47,314.14,-157.942,0.0,top
C48,311.51,-160.167,-90.0,top
C49,334.5055,-158.592,180.0,top
C5,112.2128,-104.347,-90.0,top
C50,334.5055,-157.542,180.0,top
C51,332.9965,-158.567,-90.0,top
C52,346.22,-184.09,90.0,top
C53,263.4625,-121.142,90.0,top
C54,342.365,-127.32,90.0,top
C55,343.14,-130.41,0.0,top
C58,257.35,-126.6,90.0,top
C59,328.99,-133.72,0.0,top
C6,112.2128,-129.1013,90.0,top
C60,271.105,-151.742,-90.0,top
C61,268.945,-151.742,-90.0,top
C62,284.7625,-134.712,0.0,top
C63,268.275,-121.142,90.0,top
C64,254.2225,-139.867,180.0,top
C65,270.025,-151.742,-90.0,top
C66,284.7625,-139.212,0.0,top
C67,254.2225,-133.542,180.0,top
C68,272.06625,-121.14,90.0,top
C69,278.94125,-151.742,-90.0,top
C7,127.4625,-159.7558,-90.0,top
C70,284.2625,-177.7221,90.0,top
C71,271.0625,-121.142,90.0,top
C72,284.7625,-133.35,0.0,top
C73,264.4625,-121.142,90.0,top
C74,284.7625,-125.3492,0.0,top
C75,279.9375,-151.742,-90.0,top
C76,254.2225,-135.382,180.0,top
C77,254.2125,-138.867,180.0,top
C78,265.4625,-121.142,90.0,top
C79,267.275,-151.742,-90.0,top
C8,148.4625,-159.757,-90.0,top
C80,284.7625,-140.19,0.0,top
C81,127.97,-171.95,180.0,top
C82,102.95,-143.5685,180.0,top
C83,273.07,-121.14,90.0,top
C84,342.81,-177.002,-90.0,top
C85,254.2225,-144.882,180.0,top
C86,284.7625,-144.712,0.0,top
C9,169.67,-158.48,90.0,top
D1,106.4514,-187.1402,180.0,top
D10,351.42,-166.66,180.0,top
D11,98.88,-143.5,180.0,top
D12,133.8563,-173.1362,0.0,top
D13,126.2813,-167.7112,90.0,top
D14,287.954,-100.0993,-90.0,top
D2,110.9125,-171.292,-90.0,top
D3,122.1125,-173.042,0.0,top
D4,115.6375,-171.292,-90.0,top
D5,106.17,-142.1685,90.0,top
D6,315.9,-99.937,0.0,top
D7,163.586,-170.242,180.0,top
D8,294.5525,-181.992,0.0,top
D9,294.5125,-185.427,0.0,top
FB1,255.3425,-126.77,180.0,top
HS1,101.4475,-134.1075,0.0,top
J1,349.7675,-146.932,90.0,top
J10,271.39455,-99.442,90.0,top
J11,98.03,-169.82,-90.0,top
J12,311.9625,-182.022,0.0,top
J13,344.3545,-156.867,90.0,top
J14,350.6625,-173.675,90.0,top
J15,215.3914,-171.2851,-90.0,top
J16,291.6375,-123.762,0.0,top
J18,137.8977,-180.2869,180.0,top
J19,305.0125,-114.892,90.0,top
J2,245.8714,-184.0969,-90.0,top
J20,104.8305,-99.442,90.0,top
J21,253.4275,-160.667,90.0,top
J22,342.17,-181.847,0.0,top
J23,286.4275,-112.257,-90.0,top
J24,245.7225,-118.687,0.0,top
J25,151.2875,-99.442,90.0,top
J26,233.8351,-99.442,90.0,top
J27,326.6565,-96.892,-90.0,top
J28,161.6449,-173.317,90.0,top
J3,139.6011,-92.522,0.0,top
J4,224.6911,-92.522,0.0,top
J5,309.4255,-92.522,0.0,top
J6,177.9009,-177.6102,180.0,top
J7,96.9025,-176.34,90.0,top
J8,328.2,-145.53,90.0,top
J9,268.5864,-184.0969,-90.0,top
LS1,339.985,-117.917,-90.0,top
Q1,154.6212,-171.05,90.0,top
Q3,333.3875,-98.4801,0.0,top
Q4,293.7362,-177.392,90.0,top
R1,322.6325,-171.672,-90.0,top
R10,313.7014,-168.2401,-135.0,top
R11,312.6125,-167.137,-135.0,top
R12,328.9375,-163.057,0.0,top
R13,125.46,-156.737,0.0,top
R14,125.46,-158.007,0.0,top
R15,328.9325,-164.592,0.0,top
R16,310.2875,-170.992,-90.0,top
R17,316.7125,-162.417,0.0,top
R18,308.45,-165.71,180.0,top
R19,322.3125,-156.417,-90.0,top
R2,321.0825,-171.672,-90.0,top
R20,338.9125,-167.417,90.0,top
R21,316.8875,-159.85,-90.0,top
R22,317.1625,-156.417,-90.0,top
R23,349.4,-167.02,90.0,top
R24,309.0125,-167.692,90.0,top
R25,332.94,-151.367,90.0,top
R26,332.94,-149.42,-90.0,top
R27,284.7625,-129.532,0.0,top
R28,96.7275,-139.41,180.0,top
R29,296.4625,-177.792,0.0,top
